Team,RL Odds,RL,Moneyline,Home Away,Matchup,Name,Short,BA,OBP,SLG,BP.ERA,BP.WHIP,BP.BA,P.BA,P.OBP,P.SLG,G,IP,IP.G
Los Angeles Dodgers,-162,1.5,124,V,1,JackFlaherty,LAD,.258,.335,.446,3.9,1.23,0.235,0.223,0.273,0.388,28,162,5.78571428571429
New York Yankees,136,-1.5,-148,H,1,GerritCole,NYY,.248,.333,.429,3.74,1.24,0.233,0.22,0.29,0.358,17,95,5.58823529411765
